codeTs,snum,textName,requireCheck,decFacCode,decFacName,decFacType,decFacContent,ieFlag,gname,extendFiled
430211,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
430211,2,制作或保存方法（鞣制未缝制或已缝制毛皮）,1,null,null,null,null,null,null,null
430211,3,外观(整张、带头、尾、爪等）,1,null,null,null,null,null,null,null
430211,4,重量、张数,1,null,null,null,null,null,null,null
430211,5,品种（深棕、黑十字等）,1,null,null,null,null,null,null,null
430211,6,性别（公、母）,1,null,null,null,null,null,null,null
430211,7,尺寸（50号、40号等）,1,null,null,null,null,null,null,null
430211,8,颜色,1,null,null,null,null,null,null,null
430211,9,等级（以各拍卖会等级体系为准、残次皮需明确种类及等,1,null,null,null,null,null,null,null
430211,10,是否来自拍卖会及拍卖日期、把号,1,null,null,null,null,null,null,null
430211,11,GTIN,0,null,null,null,null,null,null,null
430211,12,CAS,0,null,null,null,null,null,null,null
430211,13,其他,0,,,,,,,
4302191,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4302191,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4302191,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4302191,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
4302191,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4302191,5,品种(蓝狐、蓝霜狐皮等,1,null,null,null,null,null,null,null
4302191,6,尺寸（50号、40号等）,1,null,null,null,null,null,null,null
4302191,7,颜色（深、浅）,1,null,null,null,null,null,null,null
4302191,8,质量（世家皇冠、世家级）,1,null,null,null,null,null,null,null
4302191,9,是否来自拍卖会及拍卖会日期,1,null,null,null,null,null,null,null
4302191,10,GTIN,0,null,null,null,null,null,null,null
4302191,11,CAS,0,null,null,null,null,null,null,null
4302191,12,其他,0,,,,,,,
4302192,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4302192,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4302192,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4302192,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
4302192,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4302192,5,规格,1,null,null,null,null,null,null,null
4302192,6,GTIN,0,null,null,null,null,null,null,null
4302192,7,CAS,0,null,null,null,null,null,null,null
4302192,8,其他,0,,,,,,,
4302193,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4302193,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4302193,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4302193,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
4302193,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4302193,5,规格,1,null,null,null,null,null,null,null
4302193,6,GTIN,0,null,null,null,null,null,null,null
4302193,7,CAS,0,null,null,null,null,null,null,null
4302193,8,其他,0,,,,,,,
4302199,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4302199,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4302199,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4302199,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
4302199,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4302199,5,规格,1,null,null,null,null,null,null,null
4302199,6,GTIN,0,null,null,null,null,null,null,null
4302199,7,CAS,0,null,null,null,null,null,null,null
4302199,8,其他,0,,,,,,,
4302199,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4302199,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4302199,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4302199,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
4302199,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4302199,5,规格,1,null,null,null,null,null,null,null
4302199,6,GTIN,0,null,null,null,null,null,null,null
4302199,7,CAS,0,null,null,null,null,null,null,null
4302199,8,其他,0,,,,,,,
43022,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
43022,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
43022,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
43022,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
43022,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
43022,5,GTIN,0,null,null,null,null,null,null,null
43022,6,CAS,0,null,null,null,null,null,null,null
43022,7,其他,0,,,,,,,
43023,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
43023,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
43023,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
43023,3,制作或保存方法(鞣制未缝制或已缝制毛皮),1,null,null,null,null,null,null,null
43023,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
43023,5,规格,1,null,null,null,null,null,null,null
43023,6,GTIN,0,null,null,null,null,null,null,null
43023,7,CAS,0,null,null,null,null,null,null,null
43023,8,其他,0,,,,,,,
