type,codeValue,codeName
CUS_COUNTRY,219,冈比亚
CUS_COUNTRY,220,加纳
CUS_COUNTRY,221,几内亚
CUS_COUNTRY,222,几内亚比绍
CUS_COUNTRY,223,科特迪瓦
CUS_COUNTRY,224,肯尼亚
CUS_COUNTRY,225,利比里亚
CUS_COUNTRY,226,利比亚
CUS_COUNTRY,227,马达加斯加
CUS_COUNTRY,228,马拉维
CUS_COUNTRY,229,马里
CUS_COUNTRY,230,毛里塔尼亚
CUS_COUNTRY,231,毛里求斯
CUS_COUNTRY,232,摩洛哥
CUS_COUNTRY,233,莫桑比克
CUS_COUNTRY,234,纳米比亚
CUS_COUNTRY,235,尼日尔
CUS_COUNTRY,236,尼日利亚
CUS_COUNTRY,237,留尼汪
CUS_COUNTRY,238,卢旺达
CUS_COUNTRY,239,圣多美和普林西比
CUS_COUNTRY,240,塞内加尔
CUS_COUNTRY,241,塞舌尔
CUS_COUNTRY,242,塞拉利昂
CUS_COUNTRY,243,索马里
CUS_COUNTRY,244,南非
CUS_COUNTRY,245,西撒哈拉
CUS_COUNTRY,246,苏丹
CUS_COUNTRY,247,坦桑尼亚
CUS_COUNTRY,248,多哥
CUS_COUNTRY,249,突尼斯
CUS_COUNTRY,250,乌干达
CUS_COUNTRY,251,布基纳法索
CUS_COUNTRY,252,刚果(金)
CUS_COUNTRY,253,赞比亚
CUS_COUNTRY,254,津巴布韦
CUS_COUNTRY,255,莱索托
CUS_COUNTRY,256,梅利利亚
CUS_COUNTRY,257,斯威士兰
CUS_COUNTRY,258,厄立特里亚
CUS_COUNTRY,259,马约特
CUS_COUNTRY,260,南苏丹共和国
CUS_COUNTRY,299,非洲其他国家(地区)
CUS_COUNTRY,301,比利时
CUS_COUNTRY,302,丹麦
CUS_COUNTRY,303,英国
CUS_COUNTRY,304,德国
CUS_COUNTRY,305,法国
CUS_COUNTRY,306,爱尔兰
CUS_COUNTRY,307,意大利
CUS_COUNTRY,308,卢森堡
CUS_COUNTRY,309,荷兰
CUS_COUNTRY,310,希腊
CUS_COUNTRY,311,葡萄牙
CUS_COUNTRY,312,西班牙
CUS_COUNTRY,313,阿尔巴尼亚
CUS_COUNTRY,314,安道尔
CUS_COUNTRY,315,奥地利
CUS_COUNTRY,316,保加利亚
CUS_COUNTRY,318,芬兰
CUS_COUNTRY,320,直布罗陀
CUS_COUNTRY,321,匈牙利
CUS_COUNTRY,322,冰岛
CUS_COUNTRY,323,列支敦士登
CUS_COUNTRY,324,马耳他
CUS_COUNTRY,325,摩纳哥
CUS_COUNTRY,326,挪威
CUS_COUNTRY,327,波兰
CUS_COUNTRY,328,罗马尼亚
CUS_COUNTRY,329,圣马力诺
CUS_COUNTRY,330,瑞典
CUS_COUNTRY,331,瑞士
CUS_COUNTRY,334,爱沙尼亚
CUS_COUNTRY,335,拉脱维亚
CUS_COUNTRY,336,立陶宛
CUS_COUNTRY,337,格鲁吉亚
CUS_COUNTRY,338,亚美尼亚
CUS_COUNTRY,339,阿塞拜疆
