type,codeValue,codeName,cusCode,gbCode,gbName,ciqCode
CUS_MAPPING_PORT_CODE_V,PRT033,波尔蒂芒（葡萄牙）,2363,PRT033,波尔蒂芒（葡萄牙）,620033
CUS_MAPPING_PORT_CODE_V,PRT036,塞图巴尔（葡萄牙）,2364,PRT036,塞图巴尔（葡萄牙）,620036
CUS_MAPPING_PORT_CODE_V,PRT039,锡尼什（葡萄牙）,2365,PRT039,锡尼什（葡萄牙）,620039
CUS_MAPPING_PORT_CODE_V,PRT042,维亚纳堡（葡萄牙）,2366,PRT042,维亚纳堡（葡萄牙）,620042
CUS_MAPPING_PORT_CODE_V,PRT045,雷阿尔城（葡萄牙）,311,PRT045,雷阿尔城（葡萄牙）,620045
CUS_MAPPING_PORT_CODE_V,PRY000,巴拉圭,433,PRY000,巴拉圭,600000
CUS_MAPPING_PORT_CODE_V,PRY003,亚松森（巴拉圭）,433,PRY003,亚松森（巴拉圭）,600003
CUS_MAPPING_PORT_CODE_V,PSE000,巴勒斯坦,128,PSE000,巴勒斯坦,275000
CUS_MAPPING_PORT_CODE_V,PSE003,阿什杜德（巴勒斯坦）,1421,PSE003,阿什杜德（巴勒斯坦）,275003
CUS_MAPPING_PORT_CODE_V,PSE006,埃拉特（巴勒斯坦）,3451,PSE006,埃拉特（巴勒斯坦）,275006
CUS_MAPPING_PORT_CODE_V,PSE008,利达（巴勒斯坦）,1420,PSE008,利达（巴勒斯坦）,275008
CUS_MAPPING_PORT_CODE_V,PSE010,耶路撒冷（巴勒斯坦）,1419,PSE010,耶路撒冷（巴勒斯坦）,275010
CUS_MAPPING_PORT_CODE_V,PYF000,法属波利尼西亚,623,PYF000,法属波利尼西亚,258000
CUS_MAPPING_PORT_CODE_V,PYF003,豪岛（法属波利尼西亚）,623,PYF003,豪岛（法属波利尼西亚）,258003
CUS_MAPPING_PORT_CODE_V,PYF006,麦卡梯（法属波利尼西亚）,623,PYF006,麦卡梯（法属波利尼西亚）,258006
CUS_MAPPING_PORT_CODE_V,PYF009,穆鲁路（法属波利尼西亚）,623,PYF009,穆鲁路（法属波利尼西亚）,258009
CUS_MAPPING_PORT_CODE_V,PYF011,波拉波拉（法属波利尼西亚）,623,PYF011,波拉波拉（法属波利尼西亚）,258011
CUS_MAPPING_PORT_CODE_V,PYF012,帕皮提（法属波利尼西亚）,3332,PYF012,帕皮提（法属波利尼西亚）,258012
CUS_MAPPING_PORT_CODE_V,PYF015,韦他佩（法属波利尼西亚）,623,PYF015,韦他佩（法属波利尼西亚）,258015
CUS_MAPPING_PORT_CODE_V,PYF016,马克萨斯群岛（法属波利尼西亚）,3285,PYF016,马克萨斯群岛（法属波利尼西亚）,258016
CUS_MAPPING_PORT_CODE_V,PYF017,塔希提岛（法属波利尼西亚）,3333,PYF017,塔希提岛（法属波利尼西亚）,258017
CUS_MAPPING_PORT_CODE_V,PYF018,土阿莫土群岛（法属波利尼西亚）,3346,PYF018,土阿莫土群岛（法属波利尼西亚）,258018
CUS_MAPPING_PORT_CODE_V,PYF019,土布艾群岛（法属波利尼西亚）,3347,PYF019,土布艾群岛（法属波利尼西亚）,258019
CUS_MAPPING_PORT_CODE_V,QAT000,卡塔尔,130,QAT000,卡塔尔,634000
CUS_MAPPING_PORT_CODE_V,QAT003,多哈（卡塔尔）,1458,QAT003,多哈（卡塔尔）,634003
CUS_MAPPING_PORT_CODE_V,QAT006,哈卢勒岛（卡塔尔）,130,QAT006,哈卢勒岛（卡塔尔）,634006
CUS_MAPPING_PORT_CODE_V,QAT009,乌姆赛义德（卡塔尔）,1459,QAT009,乌姆赛义德（卡塔尔）,634009
CUS_MAPPING_PORT_CODE_V,REU000,留尼汪,237,REU000,留尼汪,638000
CUS_MAPPING_PORT_CODE_V,REU002,勒波尔（留尼汪）,237,REU002,勒波尔（留尼汪）,638002
CUS_MAPPING_PORT_CODE_V,REU003,加勒茨角港（留尼汪）,1735,REU003,加勒茨角港（留尼汪）,638003
CUS_MAPPING_PORT_CODE_V,REU006,圣但尼（留尼汪）,1734,REU006,圣但尼（留尼汪）,638006
CUS_MAPPING_PORT_CODE_V,REU009,圣路易（留尼汪）,237,REU009,圣路易（留尼汪）,638009
CUS_MAPPING_PORT_CODE_V,ROU000,罗马尼亚,328,ROU000,罗马尼亚,642000
CUS_MAPPING_PORT_CODE_V,ROU003,布勒伊拉（罗马尼亚）,2539,ROU003,布勒伊拉（罗马尼亚）,642003
CUS_MAPPING_PORT_CODE_V,ROU006,康斯坦察（罗马尼亚）,2541,ROU006,康斯坦察（罗马尼亚）,642006
CUS_MAPPING_PORT_CODE_V,ROU009,加拉茨（罗马尼亚）,2542,ROU009,加拉茨（罗马尼亚）,642009
CUS_MAPPING_PORT_CODE_V,ROU012,曼加利亚（罗马尼亚）,328,ROU012,曼加利亚（罗马尼亚）,642012
CUS_MAPPING_PORT_CODE_V,ROU015,苏利纳（罗马尼亚）,2543,ROU015,苏利纳（罗马尼亚）,642015
CUS_MAPPING_PORT_CODE_V,ROU018,图耳恰（罗马尼亚）,328,ROU018,图耳恰（罗马尼亚）,642018
CUS_MAPPING_PORT_CODE_V,ROU901,布加勒斯特（罗马尼亚）,2540,ROU901,布加勒斯特（罗马尼亚）,642901
CUS_MAPPING_PORT_CODE_V,RUS000,俄罗斯,344,RUS000,俄罗斯,643000
CUS_MAPPING_PORT_CODE_V,RUS003,亚历山大罗夫斯克（俄罗斯）,3422,RUS003,亚历山大罗夫斯克（俄罗斯）,643003
CUS_MAPPING_PORT_CODE_V,RUS004,阿纳德尔（俄罗斯）,344,RUS004,阿纳德尔（俄罗斯）,643004
CUS_MAPPING_PORT_CODE_V,RUS006,阿尔汉格尔斯克（俄罗斯）,2641,RUS006,阿尔汉格尔斯克（俄罗斯）,643006
CUS_MAPPING_PORT_CODE_V,RUS009,德卡斯特莱（俄罗斯）,344,RUS009,德卡斯特莱（俄罗斯）,643009
CUS_MAPPING_PORT_CODE_V,RUS012,加里宁格勒（俄罗斯）,2647,RUS012,加里宁格勒（俄罗斯）,643012
CUS_MAPPING_PORT_CODE_V,RUS015,克烈季（俄罗斯）,2649,RUS015,克烈季（俄罗斯）,643015
CUS_MAPPING_PORT_CODE_V,RUS018,霍尔姆斯克（俄罗斯）,2651,RUS018,霍尔姆斯克（俄罗斯）,643018
CUS_MAPPING_PORT_CODE_V,RUS021,科尔萨科夫（俄罗斯）,3423,RUS021,科尔萨科夫（俄罗斯）,643021
CUS_MAPPING_PORT_CODE_V,RUS024,拉扎烈夫（俄罗斯）,344,RUS024,拉扎烈夫（俄罗斯）,643024
CUS_MAPPING_PORT_CODE_V,RUS027,马加丹（俄罗斯）,3424,RUS027,马加丹（俄罗斯）,643027
CUS_MAPPING_PORT_CODE_V,RUS030,马戈（俄罗斯）,344,RUS030,马戈（俄罗斯）,643030
CUS_MAPPING_PORT_CODE_V,RUS033,马卡洛夫（俄罗斯）,344,RUS033,马卡洛夫（俄罗斯）,643033
CUS_MAPPING_PORT_CODE_V,RUS036,美晋（俄罗斯）,2655,RUS036,美晋（俄罗斯）,643036
CUS_MAPPING_PORT_CODE_V,RUS039,摩尔曼斯克（俄罗斯）,2656,RUS039,摩尔曼斯克（俄罗斯）,643039
CUS_MAPPING_PORT_CODE_V,RUS042,纳霍德卡（俄罗斯）,2657,RUS042,纳霍德卡（俄罗斯）,643042
CUS_MAPPING_PORT_CODE_V,RUS045,纳里扬马尔（俄罗斯）,3431,RUS045,纳里扬马尔（俄罗斯）,643045
