hscode,statcode,classifyCnnm,hsname,ciqname
0101210010,0101210010999,种马,改良种用濒危野马,改良种用濒危野马
0101210090,0101210090999,种马,其他改良种用马,其他改良种用马
0101290010,0101290010999,野马,非改良种用濒危野马,非改良种用濒危野马
0101290090,0101290090101,屠宰马,非改良种用其他马,非改良种用其他马(屠宰马)
0101290090,0101290090102,赛马,非改良种用其他马,非改良种用其他马(赛马)
0101290090,0101290090103,其他用途马,非改良种用其他马,非改良种用其他马(其他用途马)
0101301010,0101301010999,野驴,改良种用的濒危野驴,改良种用的濒危野驴
0101301090,0101301090999,驴,改良种用的其他驴,改良种用的其他驴
0101309010,0101309010999,野驴,非改良种用濒危野驴,非改良种用濒危野驴
0101309090,0101309090999,驴,非改良种用其他驴,非改良种用其他驴
0101900000,0101900000999,骡,骡,骡
0102210000,0102210000101,种牛,改良种用家牛,改良种用家牛(种牛)
0102210000,0102210000102,屠宰牛,改良种用家牛,改良种用家牛(屠宰牛)
0102210000,0102210000103,其他用途牛,改良种用家牛,改良种用家牛(其他用途牛)
0102290000,0102290000101,种牛,非改良种用家牛,非改良种用家牛(种牛)
0102290000,0102290000102,屠宰牛,非改良种用家牛,非改良种用家牛(屠宰牛)
0102290000,0102290000103,其他用途牛,非改良种用家牛,非改良种用家牛(其他用途牛)
0102310010,0102310010999,水牛,改良种用濒危水牛,改良种用濒危水牛
0102310090,0102310090999,水牛,改良种用其他水牛,改良种用其他水牛
0102390010,0102390010999,水牛,非改良种用濒危水牛,非改良种用濒危水牛
0102390090,0102390090999,水牛,非改良种用其他水牛,非改良种用其他水牛
0102901010,0102901010999,野牛,改良种用濒危野牛,改良种用濒危野牛
0102901090,0102901090101,种牛,其他改良种用牛,其他改良种用牛(种牛)
0102901090,0102901090102,屠宰牛,其他改良种用牛,其他改良种用牛(屠宰牛)
0102901090,0102901090103,其他用途牛,其他改良种用牛,其他改良种用牛(其他用途牛)
0102901090,0102901090104,水牛,其他改良种用牛,其他改良种用牛(水牛)
0102901090,0102901090105,牦牛,其他改良种用牛,其他改良种用牛(牦牛)
0102909010,0102909010999,野牛,非改良种用濒危野牛,非改良种用濒危野牛
0102909090,0102909090101,种牛,非改良种用其他牛,非改良种用其他牛(种牛)
0102909090,0102909090102,屠宰牛,非改良种用其他牛,非改良种用其他牛(屠宰牛)
0102909090,0102909090103,其他用途牛,非改良种用其他牛,非改良种用其他牛(其他用途牛)
0102909090,0102909090104,水牛,非改良种用其他牛,非改良种用其他牛(水牛)
0102909090,0102909090105,牦牛,非改良种用其他牛,非改良种用其他牛(牦牛)
0103100010,0103100010999,野猪,改良种用的鹿豚、姬猪,改良种用的鹿豚、姬猪
0103100090,0103100090999,种猪,其他改良种用的猪,其他改良种用的猪
0103911010,0103911010999,野猪,重量在10千克以下的其他野猪(改良种用的除外),重量在10千克以下的其他野猪(改良种用的除外)
0103911090,0103911090101,屠宰猪,重量在10千克以下的其他猪(改良种用的除外),重量在10千克以下的其他猪(改良种用的除外)(屠宰猪)
0103911090,0103911090102,其他用途猪,重量在10千克以下的其他猪(改良种用的除外),重量在10千克以下的其他猪(改良种用的除外)(其他用途猪)
0103912010,0103912010999,野猪,10≤重量<50千克的其他野猪(改良种用的除外),10≤重量<50千克的其他野猪(改良种用的除外)
0103912090,0103912090101,屠宰猪,10≤重量<50千克的其他猪(改良种用的除外),10≤重量<50千克的其他猪(改良种用的除外)(屠宰猪)
0103912090,0103912090102,其他用途猪,10≤重量<50千克的其他猪(改良种用的除外),10≤重量<50千克的其他猪(改良种用的除外)(其他用途猪)
0103920010,0103920010999,野猪,重量在50千克及以上的其他野猪(改良种用的除外),重量在50千克及以上的其他野猪(改良种用的除外)
0103920090,0103920090101,屠宰猪,重量在50千克及以上的其他猪(改良种用的除外),重量在50千克及以上的其他猪(改良种用的除外)(屠宰猪)
0103920090,0103920090102,其他用途猪,重量在50千克及以上的其他猪(改良种用的除外),重量在50千克及以上的其他猪(改良种用的除外)(其他用途猪)
0104101000,0104101000999,种绵羊,改良种用的绵羊,改良种用的绵羊
0104109000,0104109000101,屠宰绵羊,其他绵羊(改良种用的除外),其他绵羊(改良种用的除外)(屠宰绵羊)
0104109000,0104109000102,其他用途绵羊,其他绵羊(改良种用的除外),其他绵羊(改良种用的除外)(其他用途绵羊)
0104201000,0104201000101,种山羊,改良种用的山羊,改良种用的山羊(种山羊)
0104201000,0104201000102,野山羊,改良种用的山羊,改良种用的山羊(种野山羊)
0104209000,0104209000101,屠宰山羊,非改良种用山羊,非改良种用山羊(屠宰山羊)
0104209000,0104209000102,其他用途山羊,非改良种用山羊,非改良种用山羊(其他用途山羊)
0104209000,0104209000103,野山羊,非改良种用山羊,非改良种用山羊(屠宰野山羊)
0104209000,0104209000104,野山羊,非改良种用山羊,非改良种用山羊(其他用途野山羊)
0105111000,0105111000101,肉种鸡,不超过185克的改良种用鸡,不超过185克的改良种用鸡(肉种鸡)
0105111000,0105111000102,蛋种鸡,不超过185克的改良种用鸡,不超过185克的改良种用鸡(蛋种鸡)
0105119000,0105119000101,屠宰鸡,不超过185克的其他鸡(改良种用的除外),不超过185克的其他鸡(改良种用的除外)(屠宰鸡)
0105119000,0105119000102,其他用途鸡,不超过185克的其他鸡(改良种用的除外),不超过185克的其他鸡(改良种用的除外)(其他用途鸡)
0105121000,0105121000999,火鸡,不超过185克的改良种用火鸡,不超过185克的改良种用火鸡
0105129000,0105129000999,火鸡,不超过185克的其他火鸡(改良种用的除外),不超过185克的其他火鸡(改良种用的除外)
0105131000,0105131000999,鸭,不超过185克的改良种用鸭,不超过185克的改良种用鸭
0105139000,0105139000999,鸭,不超过185克的其他鸭(改良种用的除外),不超过185克的其他鸭(改良种用的除外)
0105141000,0105141000999,鹅,不超过185克的改良种用鹅,不超过185克的改良种用鹅
0105149000,0105149000999,鹅,不超过185克的其他鹅(改良种用的除外),不超过185克的其他鹅(改良种用的除外)
0105151000,0105151000999,珍珠鸡,不超过185克的改良种用珍珠鸡,不超过185克的改良种用珍珠鸡
0105159000,0105159000999,珍珠鸡,不超过185克的其他珍珠鸡(改良种用的除外),不超过185克的其他珍珠鸡(改良种用的除外)
0105941000,0105941000101,肉种鸡,超过185克改良种用鸡,超过185克改良种用鸡(肉种鸡)
0105941000,0105941000102,蛋种鸡,超过185克改良种用鸡,超过185克改良种用鸡(蛋种鸡)
0105949000,0105949000101,屠宰鸡,超过185克其他鸡(改良种用的除外),超过185克其他鸡(改良种用的除外)(屠宰鸡)
0105949000,0105949000102,其他用途鸡,超过185克其他鸡(改良种用的除外),超过185克其他鸡(改良种用的除外)(其他用途鸡)
0105991000,0105991000101,珍珠鸡,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(珍珠鸡)
0105991000,0105991000102,其他饲养鸡形目禽鸟,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(其他饲养鸡形目禽鸟)
0105991000,0105991000103,鹅,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(鹅)
0105991000,0105991000104,鸭,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(鸭)
0105991000,0105991000105,其他饲养雁形目禽鸟,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(其他饲养雁形目禽鸟)
0105991000,0105991000106,鸽,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(鸽)
0105991000,0105991000107,其他饲养禽鸟,超过185克的其他改良种用家禽,超过185克的其他改良种用家禽(其他饲养禽鸟)
0105999100,0105999100999,鸭,超过185克的非改良种用鸭,超过185克的非改良种用鸭
0105999200,0105999200999,鹅,超过185克的非改良种用鹅,超过185克的非改良种用鹅
0105999300,0105999300999,珍珠鸡,超过185克的非改良种用珍珠鸡,超过185克的非改良种用珍珠鸡
0105999400,0105999400999,火鸡,超过185克的非改良种用火鸡,超过185克的非改良种用火鸡
0106111000,0106111000101,猴,改良种用灵长目哺乳动物(包括人工驯养、繁殖的),改良种用灵长目哺乳动物(包括人工驯养、繁殖的)(猴)
0106111000,0106111000102,猿,改良种用灵长目哺乳动物(包括人工驯养、繁殖的),改良种用灵长目哺乳动物(包括人工驯养、繁殖的)(猿)
0106111000,0106111000103,猩猩,改良种用灵长目哺乳动物(包括人工驯养、繁殖的),改良种用灵长目哺乳动物(包括人工驯养、繁殖的)(猩猩)
0106111000,0106111000104,狒狒,改良种用灵长目哺乳动物(包括人工驯养、繁殖的),改良种用灵长目哺乳动物(包括人工驯养、繁殖的)(狒狒)
0106111000,0106111000105,山魈,改良种用灵长目哺乳动物(包括人工驯养、繁殖的),改良种用灵长目哺乳动物(包括人工驯养、繁殖的)(山魈)
0106111000,0106111000106,其他野生灵长动物,改良种用灵长目哺乳动物(包括人工驯养、繁殖的),改良种用灵长目哺乳动物(包括人工驯养、繁殖的)(其他野生灵长动物)
0106119000,0106119000101,猴,其他灵长目哺乳动物(包括人工驯养、繁殖的),其他灵长目哺乳动物(包括人工驯养、繁殖的)(猴)
0106119000,0106119000102,猿,其他灵长目哺乳动物(包括人工驯养、繁殖的),其他灵长目哺乳动物(包括人工驯养、繁殖的)(猿)
0106119000,0106119000103,猩猩,其他灵长目哺乳动物(包括人工驯养、繁殖的),其他灵长目哺乳动物(包括人工驯养、繁殖的)(猩猩)
0106119000,0106119000104,狒狒,其他灵长目哺乳动物(包括人工驯养、繁殖的),其他灵长目哺乳动物(包括人工驯养、繁殖的)(狒狒)
0106119000,0106119000105,山魈,其他灵长目哺乳动物(包括人工驯养、繁殖的),其他灵长目哺乳动物(包括人工驯养、繁殖的)(山魈)
0106119000,0106119000106,其他野生灵长动物,其他灵长目哺乳动物(包括人工驯养、繁殖的),其他灵长目哺乳动物(包括人工驯养、繁殖的)(其他野生灵长动物)
0106121100,0106121100101,海豚,改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(海豚)
0106121100,0106121100102,鲸,改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(鲸)
0106121100,0106121100103,海牛,改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(海牛)
0106121100,0106121100104,其他野生哺乳动物,改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(其他野生哺乳动物)
0106121900,0106121900101,海豚,非改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；非改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),非改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；非改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(海豚)
0106121900,0106121900102,鲸,非改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；非改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),非改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；非改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(鲸)
0106121900,0106121900103,海牛,非改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；非改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),非改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；非改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(海牛)
0106121900,0106121900104,其他野生哺乳动物,非改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；非改良种用海牛及儒艮（海牛目哺乳动物）(包括人工驯养、繁殖的),非改良种用鲸、海豚及鼠海豚(鲸目哺乳动物)；非改良种用海牛及儒艮(海牛目哺乳动物)(包括人工驯养、繁殖的)(其他野生哺乳动物)
0106122100,0106122100101,海豹,改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(海豹)
0106122100,0106122100102,海狮,改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(海狮)
0106122100,0106122100103,海象,改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(海象)
0106122100,0106122100104,其他野生哺乳动物,改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(其他野生哺乳动物)
0106122900,0106122900101,海豹,非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),非改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(海豹)
0106122900,0106122900102,海狮,非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),非改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(海狮)
0106122900,0106122900103,海象,非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),非改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(海象)
0106122900,0106122900104,其他野生哺乳动物,非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）(包括人工驯养、繁殖的),非改良种用海豹、海狮及海象(鳍足亚目哺乳动物)(包括人工驯养、繁殖的)(其他野生哺乳动物)
0106131010,0106131010101,骆驼,改良种用濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的),改良种用濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的)(骆驼)
0106131010,0106131010102,其他野生偶蹄动物,改良种用濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的),改良种用濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的)(其他野生偶蹄动物)
0106131090,0106131090101,骆驼,其他改良种用骆驼及其他骆驼科动物,其他改良种用骆驼及其他骆驼科动物(骆驼)
0106131090,0106131090102,其他饲养偶蹄动物,其他改良种用骆驼及其他骆驼科动物,其他改良种用骆驼及其他骆驼科动物(其他饲养偶蹄动物)
0106139010,0106139010101,骆驼,其他濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的),其他濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的)(骆驼)
0106139010,0106139010102,其他野生偶蹄动物,其他濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的),其他濒危骆驼及其他濒危骆驼科动物(包括人工驯养、繁殖的)(其他饲养偶蹄动物)
0106139090,0106139090101,骆驼,其他骆驼及其他骆驼科动物,其他骆驼及其他骆驼科动物(骆驼)
0106139090,0106139090102,其他饲养偶蹄动物,其他骆驼及其他骆驼科动物,其他骆驼及其他骆驼科动物(其他饲养偶蹄动物)
0106141010,0106141010999,兔,改良种用濒危野兔(包括人工驯养、繁殖的),改良种用濒危野兔(包括人工驯养、繁殖的)
0106141090,0106141090999,兔,改良种用家兔及其他改良种用野兔,改良种用家兔及其他改良种用野兔
0106149010,0106149010999,兔,其他濒危野兔(包括人工驯养、繁殖的),其他濒危野兔(包括人工驯养、繁殖的)
0106149090,0106149090999,兔,其他家兔及野兔,其他家兔及野兔
0106191010,0106191010101,斑马,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(斑马)
0106191010,0106191010102,犀,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(犀)
0106191010,0106191010103,貘,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(貘)
0106191010,0106191010104,其他野生奇蹄动物,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(其他野生奇蹄动物)
0106191010,0106191010105,鹿,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(鹿)
0106191010,0106191010106,长颈鹿,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(长颈鹿)
0106191010,0106191010107,黄羊,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(黄羊)
0106191010,0106191010108,河马,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(河马)
0106191010,0106191010109,羚牛,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(羚牛)
0106191010,0106191010110,羚羊,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(羚羊)
0106191010,0106191010111,青羊(斑羚),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(青羊(斑羚))
0106191010,0106191010112,叉角羚,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(叉角羚)
0106191010,0106191010113,骆马,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(骆马)
0106191010,0106191010114,美洲驼,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(美洲驼)
0106191010,0106191010115,角马,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(角马)
0106191010,0106191010116,梅花鹿,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(梅花鹿)
0106191010,0106191010117,马鹿,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(马鹿)
0106191010,0106191010118,其他野生偶蹄动物,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(其他野生偶蹄动物)
0106191010,0106191010119,狐狸,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(狐狸)
0106191010,0106191010120,貂,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(貂)
0106191010,0106191010121,大熊猫,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(大熊猫)
0106191010,0106191010122,小熊猫,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(小熊猫)
0106191010,0106191010123,熊,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(熊)
0106191010,0106191010124,水獭,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(水獭)
0106191010,0106191010125,果子狸,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(果子狸)
0106191010,0106191010126,狮,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(狮)
0106191010,0106191010127,虎,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(虎)
0106191010,0106191010128,豹,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(豹)
0106191010,0106191010129,貉,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(貉)
0106191010,0106191010130,豺,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(豺)
0106191010,0106191010131,狼,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(狼)
0106191010,0106191010132,大灵猫,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(大灵猫)
0106191010,0106191010133,小灵猫,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(小灵猫)
0106191010,0106191010134,野狗,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(野狗)
0106191010,0106191010135,其他野生食肉动物,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(其他野生食肉动物)
0106191010,0106191010136,旱獭,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(旱獭)
0106191010,0106191010137,松鼠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(松鼠)
0106191010,0106191010138,花鼠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(花鼠)
0106191010,0106191010139,麝鼠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(麝鼠)
0106191010,0106191010140,海狸鼠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(海狸鼠)
0106191010,0106191010141,河狸,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(河狸)
0106191010,0106191010142,地鼠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(地鼠)
0106191010,0106191010143,豪猪,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(豪猪)
0106191010,0106191010144,其他野生啮齿动物,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(其他野生啮齿动物)
0106191010,0106191010145,猩猩,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(猩猩)
0106191010,0106191010146,狒狒,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(狒狒)
0106191010,0106191010147,山魈,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(山魈)
0106191010,0106191010148,其他野生灵长动物,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(其他野生灵长动物)
0106191010,0106191010149,象,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(象)
0106191010,0106191010150,刺猬,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(刺猬)
0106191010,0106191010151,穿山甲,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(穿山甲)
0106191010,0106191010152,袋鼠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(袋鼠)
0106191010,0106191010153,蝙蝠,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(蝙蝠)
0106191010,0106191010154,其他野生哺乳动物,其他改良种用濒危哺乳动物(包括人工驯养、繁殖的),其他改良种用濒危哺乳动物(包括人工驯养、繁殖的)(其他野生哺乳动物)
0106191090,0106191090101,其他饲养奇蹄动物,其他改良种用哺乳动物,其他改良种用哺乳动物(其他饲养奇蹄动物)
0106191090,0106191090102,其他饲养偶蹄动物,其他改良种用哺乳动物,其他改良种用哺乳动物(其他饲养偶蹄动物)
0106191090,0106191090103,伴侣犬,其他改良种用哺乳动物,其他改良种用哺乳动物(伴侣犬)
0106191090,0106191090104,工作犬,其他改良种用哺乳动物,其他改良种用哺乳动物(工作犬)
0106191090,0106191090105,其他用途犬,其他改良种用哺乳动物,其他改良种用哺乳动物(其他用途犬)
0106191090,0106191090106,伴侣猫,其他改良种用哺乳动物,其他改良种用哺乳动物(伴侣猫)
0106191090,0106191090107,其他用途猫,其他改良种用哺乳动物,其他改良种用哺乳动物(其他用途猫)
0106191090,0106191090108,其他饲养食肉动物,其他改良种用哺乳动物,其他改良种用哺乳动物(其他饲养食肉动物)
0106191090,0106191090109,大鼠,其他改良种用哺乳动物,其他改良种用哺乳动物(大鼠)
0106191090,0106191090110,小鼠,其他改良种用哺乳动物,其他改良种用哺乳动物(小鼠)
0106191090,0106191090111,豚鼠,其他改良种用哺乳动物,其他改良种用哺乳动物(豚鼠)
0106191090,0106191090112,其他饲养啮齿动物,其他改良种用哺乳动物,其他改良种用哺乳动物(其他饲养啮齿动物)
0106191090,0106191090113,其他饲养兔形目动物,其他改良种用哺乳动物,其他改良种用哺乳动物(其他饲养兔形目动物)
0106191090,0106191090114,其他饲养哺乳动物,其他改良种用哺乳动物,其他改良种用哺乳动物(其他饲养哺乳动物)
0106199010,0106199010101,斑马,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(斑马)
0106199010,0106199010102,犀,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(犀)
0106199010,0106199010103,貘,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(貘)
0106199010,0106199010104,其他野生奇蹄动物,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(其他野生奇蹄动物)
0106199010,0106199010105,鹿,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(鹿)
0106199010,0106199010106,长颈鹿,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(长颈鹿)
0106199010,0106199010107,黄羊,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(黄羊)
0106199010,0106199010108,河马,其他濒危哺乳动物(包括人工驯养、繁殖的),其他濒危哺乳动物(包括人工驯养、繁殖的)(河马)
