hscode,statcode,classifyCnnm,hsname,ciqname
8539490000,8539490000999,其它电光源及其零件,紫外线或红外线灯,紫外线或红外线灯
8539500000,8539500000999,其它电子元器件,发光二极管(LED)灯泡(管),发光二极管(LED)灯泡(管)
8539900000,8539900000999,其它电光源及其零件,品目8539所列货品的零件,品目8539所列货品的零件
8540110000,8540110000999,彩色阴极射线电视显像管,彩色阴极射线电视显像管(包括视频监视器用阴极射线管),彩色阴极射线电视显像管(包括视频监视器用阴极射线管)
8540120000,8540120000999,黑白或单色阴极射线电视显像管,单色阴极射线电视显像管(包括视频监视器用阴极射线管),单色阴极射线电视显像管(包括视频监视器用阴极射线管)
8540201000,8540201000999,其它显像管及其零件,电视摄像管,电视摄像管
8540209010,8540209010999,其它显像管及其零件,电子条纹相机的条纹显像管(专用于编号9006590040的条纹显像管),电子条纹相机的条纹显像管(专用于编号9006590040的条纹显像管)
8540209090,8540209090999,其它显像管及其零件,其他电视摄像管;其他变像管及图像增强管;其他光阴极管,其他电视摄像管；其他变像管及图像增强管；其他光阴极管
8540401000,8540401000999,彩色数据/图形显示管,点距<0.4mm彩色数据/图形显示管(指屏幕荧光点间距小于0.4mm),点距<0.4mm彩色数据/图形显示管(指屏幕荧光点间距小于0.4mm)
8540402000,8540402000999,"黑白,其它单色的数据/图形显示管",单色数据/图形显示管,单色数据/图形显示管
8540601000,8540601000999,其它显像管及其零件,雷达显示管,雷达显示管
8540609000,8540609000999,其它显像管及其零件,其他阴极射线管,其他阴极射线管
8540710000,8540710000999,其它显像管及其零件,磁控管,磁控管
8540791000,8540791000999,其它显像管及其零件,速调管,速调管
8540799000,8540799000999,其它显像管及其零件,其他微波管(不包括栅控管),其他微波管(不包括栅控管)
8540810000,8540810000999,其它显像管及其零件,接收管或放大管,接收管或放大管
8540890010,8540890010999,其它显像管及其零件,光电倍增管(光电阴极面积大于20平方厘米，并且阳极脉冲上升时间小于1纳秒),光电倍增管(光电阴极面积大于20平方厘米，并且阳极脉冲上升时间小于1纳秒)
8540890090,8540890090999,其它显像管及其零件,其他电子管(包括光阴极管或汞弧整流管),其他电子管(包括光阴极管或汞弧整流管)
8540911000,8540911000999,其它显像管及其零件,电视显像管零件,电视显像管零件
8540912000,8540912000999,其它显像管及其零件,雷达显示管零件,雷达显示管零件
8540919000,8540919000999,其它显像管及其零件,其他阴极射线管零件,其他阴极射线管零件
8540991000,8540991000999,其它显像管及其零件,电视摄像管零件,电视摄像管零件
8540999000,8540999000999,其它显像管及其零件,其他热电子管、冷阴极管零件(包括光阴极管或汞弧整流管),其他热电子管、冷阴极管零件(包括光阴极管或汞弧整流管)
8541100000,8541100000999,其它电子元器件,二极管(光敏、发光二极管除外),二极管(光敏、发光二极管除外)
8541210000,8541210000999,其它电子元器件,耗散功率＜1W的晶体管(不含光敏晶体管),耗散功率＜1W的晶体管(不含光敏晶体管)
8541290000,8541290000999,其它电子元器件,耗散功率≥1W的晶体管(不含光敏晶体管),耗散功率≥1W的晶体管(不含光敏晶体管)
8541300000,8541300000999,其它电子元器件,半导体及可控硅等开关元件(不含光敏器件),半导体及可控硅等开关元件(不含光敏器件)
8541401000,8541401000999,其它电子元器件,发光二极管,发光二极管
8541402000,8541402000999,其它电子元器件,太阳能电池,太阳能电池
8541409000,8541409000999,其它电子元器件,其他光敏半导体器件(包括不论是否装在组件内或组装成块的光电池),其他光敏半导体器件(包括不论是否装在组件内或组装成块的光电池)
8541500000,8541500000999,其它电子元器件,其他半导体器件,其他半导体器件
8541600000,8541600000999,其它电子元器件,已装配的压电晶体,已装配的压电晶体
8541900000,8541900000999,其它电子元器件,品目8541所列货品零件,品目8541所列货品零件
8542311110,8542311110999,集成电路,多元件集成电路中的自动数据处理设备机器及组件、电讯设备用的具有变流动能的半导体模块,多元件集成电路中的自动数据处理设备机器及组件、电讯设备用的具有变流动能的半导体模块
8542311190,8542311190999,集成电路,多元件集成电路中的其他具有变流功能的半导体模块,多元件集成电路中的其他具有变流功能的半导体模块
8542311900,8542311900999,集成电路,其他用作处理器及控制器的多元件集成电路(不论是否带有存储器、转换器、逻辑电路、放大器、时钟及时序电路或其他电路),其他用作处理器及控制器的多元件集成电路(不论是否带有存储器、转换器、逻辑电路、放大器、时钟及时序电路或其他电路)
8542319000,8542319000999,集成电路,其他用作处理器及控制器的集成电路(不论是否带有存储器、转换器、逻辑电路、放大器、时钟及时序电路或其他电路),其他用作处理器及控制器的集成电路(不论是否带有存储器、转换器、逻辑电路、放大器、时钟及时序电路或其他电路)
8542321000,8542321000999,集成电路,用作存储器的多元件集成电路,用作存储器的多元件集成电路
8542329000,8542329000999,集成电路,其他用作存储器的集成电路,其他用作存储器的集成电路
8542331000,8542331000999,集成电路,用作放大器的多元件集成电路,用作放大器的多元件集成电路
8542339000,8542339000999,集成电路,其他用作放大器的集成电路,其他用作放大器的集成电路
8542391000,8542391000999,集成电路,其他多元件集成电路,其他多元件集成电路
8542399000,8542399000999,集成电路,其他集成电路,其他集成电路
8542900000,8542900000999,集成电路,其他集成电路及微电子组件零件,其他集成电路及微电子组件零件
8543100010,8543100010999,其他行业成套设备,脉冲电子加速器(峰值能量为500千电子伏或更高),脉冲电子加速器(峰值能量为500千电子伏或更高)
8543100020,8543100020999,其他行业成套设备,"中子发生器系统,包括中子管(真空下,利用静电加速来诱发氚－氘核反应)",中子发生器系统，包括中子管(真空下，利用静电加速来诱发氚－氘核反应)
8543100090,8543100090999,其他行业成套设备,其他粒子加速器,其他粒子加速器
8543201000,8543201000999,其它电子测量分析设备及其零件,输出信号频率＜1500Mhz的通用信号发生器,输出信号频率＜1500Mhz的通用信号发生器
8543209010,8543209010999,其它电子测量分析设备及其零件,高速脉冲发生器(脉冲上升时间小于500ps),高速脉冲发生器(脉冲上升时间小于500ps)
8543209090,8543209090999,其它电子测量分析设备及其零件,其他输出信号频率≥1500Mhz的通用信号发生器,其他输出信号频率≥1500Mhz的通用信号发生器
8543300010,8543300010999,化工行业成套设备,电化学还原槽;锂汞齐电解槽(电化学还原槽为化学交换过程的铀浓缩设计的),电化学还原槽；锂汞齐电解槽(电化学还原槽为化学交换过程的铀浓缩设计的)
8543300020,8543300020999,化工行业成套设备,产氟电解槽(每小时产250克以上),产氟电解槽(每小时产250克以上)
8543300090,8543300090999,化工行业成套设备,其他电镀、电解或电泳设备及装置,其他电镀、电解或电泳设备及装置
8543709100,8543709100101,其它机电产品及其零件,"金属,矿藏探测器",金属，矿藏探测器(机电产品及其零件)
8543709100,8543709100102,其它电子测量分析设备及其零件,"金属,矿藏探测器",金属，矿藏探测器(电子测量分析设备及其零件)
8543709200,8543709200999,其它机电产品及其零件,"其他高,中频放大器",其他高，中频放大器
8543709300,8543709300999,其它机电产品及其零件,电篱网激发器,电篱网激发器
8543709910,8543709910101,其它机电产品及其零件,飞行数据记录器、报告器,飞行数据记录器、报告器(机电产品及其零件)
8543709910,8543709910102,其它电子测量分析设备及其零件,飞行数据记录器、报告器,飞行数据记录器、报告器(电子测量分析设备及其零件)
8543709920,8543709920101,其它机电产品及其零件,无线广播电视用激励器(具有独立功能),无线广播电视用激励器(具有独立功能)(机电产品及其零件)
8543709920,8543709920102,其它电视接收、发送装置及其零件,无线广播电视用激励器(具有独立功能),无线广播电视用激励器(具有独立功能)(电视接收、发送装置及其零件)
8543709930,8543709930101,其它机电产品及其零件,"模/数转换器(能设计或改进成军用,或设计成抗辐射的)",模/数转换器(能设计或改进成军用，或设计成抗辐射的)(机电产品及其零件)
8543709930,8543709930102,调制解调器,"模/数转换器(能设计或改进成军用,或设计成抗辐射的)",模/数转换器(能设计或改进成军用，或设计成抗辐射的)(调制解调器)
8543709940,8543709940999,其它机电产品及其零件,"质谱仪用的离子源(原子质量单位≥230,分辨率>2/230)",质谱仪用的离子源(原子质量单位≥230，分辨率>2/230)
