codeTs,controlMark,unitFlag,ciqWtMeasUnit,ciqWtMeasUnitName,gname,unit1,dangerFlag,unit1Name,unit2,outDutyTypeFlag,inspMonitorCond,ciqQtyMeasUnitName,ciqQtyMeasUnit,noteS,unit2Name
0207530000,AB,1,035,千克,鲜或冷的鹅肥肝,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207540000,AB,1,035,千克,鲜或冷的鹅块及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,肥肝除外,null
0207550000,AB,1,035,千克,冻的鹅块及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207600000,AB,1,035,千克,鲜、冷、冻的整只珍珠鸡、珍珠鸡块及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208101000,AB,1,035,千克,鲜或冷的家兔肉,035,N,千克,null,0,P.R/Q.S,null,null,不包括兔头,null
0208102000,AB,1,035,千克,冻家兔肉,035,N,千克,null,0,P.R/Q.S,null,null,不包括兔头,null
0208109010,ABFE,1,035,千克,鲜、冷或冻的濒危野兔肉及其食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,不包括兔头,null
0208109090,AB,1,035,千克,鲜、冷或冻家兔食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208300000,ABFE,1,035,千克,鲜、冷或冻的灵长目动物肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208400000,ABFE,1,035,千克,鲜、冷或冻的鲸、海豚及鼠海豚（鲸目哺乳动物）的；鲜、冷或冻的海牛及儒艮（海牛目哺乳动物）的；鲜、冷或冻的海豹、海狮及海象（鳍足亚目哺乳动物）的肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,鲜、冷或冻的鲸、海豚、鼠海豚、海牛、儒艮、海豹、海狮及海象的肉及食用杂碎,null
0208500000,ABFE,1,035,千克,鲜、冷或冻的爬行动物肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208600010,ABFE,1,035,千克,鲜、冷或冻的濒危野生骆驼及其他濒危野生骆驼科动物的肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208600090,AB,1,035,千克,其他鲜、冷或冻骆驼及其他骆驼科动物的肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208901000,AB,1,035,千克,鲜、冷或冻的乳鸽肉及其杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208909010,ABFE,1,035,千克,其他鲜、冷或冻的濒危野生动物肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0208909090,AB,1,035,千克,其他鲜、冷或冻肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0209100000,AB,1,035,千克,未炼制或用其他方法提取的不带瘦肉的肥猪肉、猪脂肪,035,N,千克,null,0,P.R/Q,null,null,包括鲜、冷、冻、干、熏、盐制的,null
0209900000,AB,1,035,千克,未炼制或用其他方法提取的家禽脂肪,035,N,千克,null,0,P.R/Q,null,null,包括鲜、冷、冻、干、熏、盐制的,null
0210111010,ABFE,1,035,千克,干、熏、盐制的带骨鹿豚、姬猪腿,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210111090,AB,1,035,千克,其他干、熏、盐制的带骨猪腿,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210119010,ABFE,1,035,千克,干、熏、盐制的带骨鹿豚、姬猪腿肉块,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210119090,AB,1,035,千克,其他干、熏、盐制的带骨猪腿肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210120010,ABFE,1,035,千克,干、熏、盐制的鹿豚、姬猪腹肉,035,N,千克,null,0,P.R/Q.S,null,null,指五花肉,null
0210120090,AB,1,035,千克,其他干、熏、盐制的猪腹肉,035,N,千克,null,0,P.R/Q.S,null,null,指五花肉,null
0210190010,ABFE,1,035,千克,干、熏、盐制的鹿豚、姬猪其他肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210190090,AB,1,035,千克,其他干、熏、盐制的其他猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210200010,ABFE,1,035,千克,干、熏、盐制的濒危野牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210200090,AB,1,035,千克,干、熏、盐制的其他牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210910000,ABFE,1,035,千克,干、熏、盐制的灵长目动物肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0210920000,ABFE,1,035,千克,干、熏、盐制的鲸、海豚及鼠海豚（鲸目哺乳动物）的；干、熏、盐制的海牛及儒艮（海牛目哺乳动物）的；干、熏、盐制的海豹、海狮及海象（鳍足亚目哺乳动物）的肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,包括可供食用的肉或杂碎的细粉、粗粉,null
0210930000,ABFE,1,035,千克,干、熏、盐制的爬行动物肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,包括食用的肉及杂碎的细粉、粗粉,null
0210990010,ABFE,1,035,千克,干、熏、盐制的其他濒危动物肉及杂碎,035,N,千克,null,0,P.R/Q.S,null,null,包括可供食用的肉或杂碎的细粉、粗粉,null
0210990090,AB,1,035,千克,干、熏、盐制的其他肉及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,包括可供食用的肉或杂碎的细粉、粗粉,null
0301110010,ABFE,1,035,千克,观赏用濒危淡水鱼,035,N,千克,null,0,P/Q,null,null,null,null
0301110090,AB,1,035,千克,观赏用其他淡水鱼,035,N,千克,null,0,P/Q,null,null,null,null
0301190010,ABFE,1,035,千克,观赏用濒危非淡水鱼,035,N,千克,null,0,P/Q,null,null,null,null
0301190090,AB,1,035,千克,其他观赏用非淡水鱼,035,N,千克,null,0,P/Q,null,null,null,null
